ALFKI|Alfreds Futterkiste
ANATR|Ana Trujillo Emparedados y helados
ANTON|Antonio Moreno Taquer¡a
AROUT|Around the Horn
BERGS|Berglunds snabbk”p
BLAUS|Blauer See Delikatessen
BLONP|Blondesddsl pŠre et fils
BOLID|B¢lido Comidas preparadas
BONAP|Bon app'
BOTTM|Bottom-Dollar Markets
BSBEV|B's Beverages
CACTU|Cactus Comidas para llevar
CENTC|Centro comercial Moctezuma
CHOPS|Chop-suey Chinese
COMMI|Com‚rcio Mineiro
CONSH|Consolidated Holdings
DRACD|Drachenblut Delikatessen
DUMON|Du monde entier
EASTC|Eastern Connection
ERNSH|Ernst Handel
FAMIA|Familia Arquibaldo
FOLIG|Folies gourmandes
FOLKO|Folk och f„ HB
FRANK|Frankenversand
FRANR|France restauration
FRANS|Franchi S.p.A.
FURIB|Furia Bacalhau e Frutos do Mar
GALED|Galer¡a del gastr¢nomo
GODOS|Godos Cocina T¡pica
GOURL|Gourmet Lanchonetes
GREAL|Great Lakes Food Market
GROSR|GROSELLA-Restaurante
HANAR|Hanari Carnes
HILAA|HILARION-Abastos
HUNGC|Hungry Coyote Import Store
HUNGO|Hungry Owl All-Night Grocers
ISLAT|Island Trading
KOENE|K”niglich Essen
LACOR|La corne d'abondance
LAMAI|La maison d'Asie
LAUGB|Laughing Bacchus Wine Cellars
LAZYK|Lazy K Kountry Store
LEHMS|Lehmanns Marktstand
LETSS|Let's Stop N Shop
LILAS|LILA-Supermercado
LINOD|LINO-Delicateses
LONEP|Lonesome Pine Restaurant
MAGAA|Magazzini Alimentari Riuniti
MAISD|Maison Dewey
MEREP|MŠre Paillarde
MORGK|Morgenstern Gesundkost
NORTS|North/South
OCEAN|Oc‚ano Atl ntico Ltda.
OLDWO|Old World Delicatessen
OTTIK|Ottilies K„seladen
PERIC|Pericles Comidas cl sicas
PICCO|Piccolo und mehr
PRINI|Princesa Isabel Vinhos
QUEDE|Que Del¡cia
QUEEN|Queen Cozinha
QUICK|QUICK-Stop
RANCH|Rancho grande
RATTC|Rattlesnake Canyon Grocery
REGGC|Reggiani Caseifici
RICAR|Ricardo Adocicados
RICSU|Richter Supermarkt
ROMEY|Romero y tomillo
SANTG|Sant‚ Gourmet
SAVEA|Save-a-lot Markets
SEVES|Seven Seas Imports
SIMOB|Simons bistro
SPECD|Sp‚cialit‚s du monde
SPLIR|Split Rail Beer & Ale
SUPRD|Suprˆmes d‚lices
THEBI|The Big Cheese
THECR|The Cracker Box
TOMSP|Toms Spezialit„ten
TORTU|Tortuga Restaurante
TRADH|Tradi‡Æo Hipermercados
TRAIH|Trail's Head Gourmet Provisioners
VAFFE|Vaffeljernet
VICTE|Victuailles en stock
VINET|Vins et alcools Chevalier
WANDK|Die Wandernde Kuh
WARTH|Wartian Herkku
WELLI|Wellington Importadora
WHITC|White Clover Markets
WILMK|Wilman Kala
WOLZA|Wolski  Zajazd
